,name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score,retailer
0,Cabalié 2021,13,2021,75,France,Red,11.99,7475,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-2021/0022621,FRA,11.99,1.078819183,11.99,1,4.5,laithwaites
1,The Black Stump Durif Shiraz 2021,14.5,2021,75,Australia,Red,11.99,7445,4.5,https://www.laithwaites.co.uk/product/The-Black-Stump-Durif-Shiraz-2021/0002421,AUS,11.99,1.078819183,11.99,1,4.5,laithwaites
2,Vinha do Fava Reserva 2020,14.5,2020,75,Portugal,Red,15.49,544,4.5,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Reserva-2020/3943720,PRT,15.49,1.190051418,15.49,2,4.5,laithwaites
3,w/o Organic Frappato 2021,13.5,2021,75,Italy,Red,11.99,158,3.8,https://www.laithwaites.co.uk/product/w/o-Organic-Frappato-2021/4160221,ITA,11.99,1.078819183,11.99,1,3.8,laithwaites
4,Cabalié (1 Litre Wine Box) 2021,13,2021,100,France,Red,9.99,14,4.8,https://www.laithwaites.co.uk/product/Cabali%C3%A9-(1-Litre-Wine-Box)-2021/4251121,FRA,7.4925,0.874626752,9.99,1,4.8,laithwaites
5,Il Papavero NV,12.5,NV,75,Italy,Red,8.99,1618,3.7,https://www.laithwaites.co.uk/product/Il-Papavero-2021/0003720,ITA,8.99,0.953759692,8.99,,3.7,laithwaites
6,Aluado Alicante Bouschet 2021,12.5,2021,75,Portugal,Red,10.99,1969,4.5,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-2021/1549721,PRT,10.99,1.040997692,10.99,1,4.5,laithwaites
7,The Great Bonza Reserve Shiraz Cabernet Sauvignon 2019,14,2019,75,Australia,Red,12.99,510,4.2,https://www.laithwaites.co.uk/product/The-Great-Bonza-Reserve-Shiraz-Cabernet-Sauvignon-2019/3052019,AUS,12.99,1.113609151,12.99,3,4.2,laithwaites
8,Cabalié Cuvée Vieilles Vignes 2021,13,2021,75,France,Red,14.99,5305,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Cuv%C3%A9e-Vieilles-Vignes-2021/1468521,FRA,14.99,1.175801633,14.99,1,4.5,laithwaites
9,The Waxed Bat 2021,14,2021,75,Argentina,Red,11.99,2650,4.1,https://www.laithwaites.co.uk/product/The-Waxed-Bat-2021/0125021,ARG,11.99,1.078819183,11.99,1,4.1,laithwaites
10,Rocksand Shiraz 2020,14.5,2020,75,Portugal,Red,11.99,1230,4.5,https://www.laithwaites.co.uk/product/Rocksand-Shiraz-2020/3287520,PRT,11.99,1.078819183,11.99,2,4.5,laithwaites
11,Rex Mundi Shiraz Grenache 2021,13,2021,75,France,Red,11.99,2840,4.4,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-2021/1419121,FRA,11.99,1.078819183,11.99,1,4.4,laithwaites
12,Château Grand Bourry Costières de Nîmes 2021,13,2021,75,France,Red,11.99,4,4,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Grand-Bourry-Costi%C3%A8res-de-N%C3%AEmes-2021/4094721,FRA,11.99,1.078819183,11.99,1,0,laithwaites
13,Opi Malbec 2021,13,2021,75,Argentina,Red,10.99,2761,4,https://www.laithwaites.co.uk/product/Opi-Malbec-2021/2582521,ARG,10.99,1.040997692,10.99,1,4,laithwaites
14,Pillastro Primitivo 2021,13.5,2021,75,Italy,Red,11.99,5639,4.4,https://www.laithwaites.co.uk/product/Pillastro-Primitivo-2021/0016921,ITA,11.99,1.078819183,11.99,1,4.4,laithwaites
15,Clarendelle Bordeaux Inspired by Haut-Brion 2016,13.5,2016,75,France,Red,19.99,6,4,https://www.laithwaites.co.uk/product/Clarendelle-Bordeaux-Inspired-by-Haut-Brion-2016/0974916,FRA,19.99,1.300812794,19.99,6,4,laithwaites
16,McPherson Don't Tell Gary Shiraz 2019,14.5,2019,75,Australia,Red,16.49,51,4.1,https://www.laithwaites.co.uk/product/McPherson-Don't-Tell-Gary-Shiraz-2019/3672019,AUS,16.49,1.217220656,16.49,3,4.1,laithwaites
17,Posada del Rey Tinto NV,13.5,NV,75,Spain,Red,7.99,639,3.3,https://www.laithwaites.co.uk/product/Posada-del-Rey-Tinto-2019/0004220,ESP,7.99,0.902546779,7.99,,3.3,laithwaites
18,McPherson The Full Fifteen 2021,15,2021,75,Australia,Red,11.99,2193,4.3,https://www.laithwaites.co.uk/product/McPherson-The-Full-Fifteen-2021/0017321,AUS,11.99,1.078819183,11.99,1,4.3,laithwaites
19,The Dip 2021,14.5,2021,75,Spain,Red,10.99,173,4.2,https://www.laithwaites.co.uk/product/The-Dip-2021/4159121,ESP,10.99,1.040997692,10.99,1,4.2,laithwaites
20,Ermita de San Lorenzo Gran Selección 2015,14,2015,75,Spain,Red,12.99,406,3.3,https://www.laithwaites.co.uk/product/Ermita-de-San-Lorenzo-Gran-Selecci%C3%B3n-2015/0352715,ESP,12.99,1.113609151,12.99,7,3.3,laithwaites
21,Lobo e Falcão 2021,13.5,2021,75,Portugal,Red,11.99,2064,4.4,https://www.laithwaites.co.uk/product/Lobo-e-Falc%C3%A3o-2021/1948221,PRT,11.99,1.078819183,11.99,1,4.4,laithwaites
22,Barón de Barbón Oak Aged Rioja 2020,14,2020,75,Spain,Red,11.99,2838,3.7,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Oak-Aged-Rioja-2020/0002320,ESP,11.99,1.078819183,11.99,2,3.7,laithwaites
23,Ognissole Organic Primitivo 2019,15,2019,75,Italy,Red,16.99,12,3.8,https://www.laithwaites.co.uk/product/Ognissole-Organic-Primitivo-2019/4213819,ITA,16.99,1.230193379,16.99,3,3.8,laithwaites
24,Stones & Bones 2020,14,2020,75,Portugal,Red,11.99,1758,4.2,https://www.laithwaites.co.uk/product/Stones-&-Bones-2020/2267520,PRT,11.99,1.078819183,11.99,2,4.2,laithwaites
25,Terres d'Arboras 2021,13,2021,75,France,Red,13.49,72,4.5,https://www.laithwaites.co.uk/product/Terres-d'Arboras-2021/4147121,FRA,13.49,1.13001195,13.49,1,4.5,laithwaites
26,Vinha do Fava Touriga Nacional 2020,14.5,2020,75,Portugal,Red,11.99,2442,4.3,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Touriga-Nacional-2020/3107520,PRT,11.99,1.078819183,11.99,2,4.3,laithwaites
27,Dark Corner Durif Shiraz 2021,14.5,2021,75,Australia,Red,11.99,1956,4.4,https://www.laithwaites.co.uk/product/Dark-Corner-Durif-Shiraz-2021/2161521,AUS,11.99,1.078819183,11.99,1,4.4,laithwaites
28,Ringland Shiraz 2019,15,2019,75,Australia,Red,17.99,4,4.8,https://www.laithwaites.co.uk/product/Ringland-Shiraz-2019/4210919,AUS,17.99,1.255031163,17.99,3,0,laithwaites
29,Inca Tree Malbec 2019,14,2019,75,Argentina,Red,14.99,50,3.5,https://www.laithwaites.co.uk/product/Inca-Tree-Malbec-2019/2157519,ARG,14.99,1.175801633,14.99,3,3.5,laithwaites
30,Edizione Speciale Numerata Chianti Numero 3 Particella 21 2020,13,2020,75,Italy,Red,16.99,74,4.2,https://www.laithwaites.co.uk/product/Edizione-Speciale-Numerata-Chianti-Numero-3-Particella-21-2020/3965820,ITA,16.99,1.230193379,16.99,2,4.2,laithwaites
31,Cabalié 3 litre Wine Box 2021,13,2021,300,France,Red,30,162,4.8,https://www.laithwaites.co.uk/product/Cabali%C3%A9-3-litre-Wine-Box-2021/4094521,FRA,7.5,0.875061263,30,1,4.8,laithwaites
