wine_type,size(cL),name,price,rating,num_review,country,abv,year,url,scaled_price,logprice,countrycode,price_fixed,age,score
white,75,McGuigan Black Label Shiraz,6.75,3.6,13,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-shiraz-243825011,6.75,0.829303773,AUS,6.75,1,3.6
white,75,Morrisons The Best Touraine Rose,8,3,4,France,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-touraine-rose-523765011,8,0.903089987,FRA,8,,0
white,75,McGuigan Black Label Merlot,6.75,4.2,13,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-merlot-243824011,6.75,0.829303773,AUS,6.75,1,4.2
white,75,Morrisons The Best South African Sauvignon Blanc,7.5,4,9,Western Cape,12.5,2021,https://groceries.morrisons.com/products/morrisons-the-best-south-african-sauvignon-blanc-119962011,7.5,0.875061263,unknown,7.5,1,4
white,75,Hardys Nottage Hill Chardonnay,6.75,3.4,5,Australia,13.5,2017,https://groceries.morrisons.com/products/hardys-nottage-hill-chardonnay-119917011,6.75,0.829303773,AUS,6.75,5,0
white,75,McGuigan Black Label Pinot Grigio,6.75,4.1,7,Australia,11.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-pinot-grigio-211276011,6.75,0.829303773,AUS,6.75,1,4.1
white,75,McGuigan Black Label Chardonnay,6.75,2.8,4,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-chardonnay-119906011,6.75,0.829303773,AUS,6.75,1,0
white,75,Morrisons The Best Marlborough Sauvignon Blanc,9,3.7,3,New Zealand,12.5,2019,https://groceries.morrisons.com/products/morrisons-the-best-marlborough-sauvignon-blanc-283660011,9,0.954242509,NZL,9,3,0
white,75,Veluti Pinot Grigio,6.25,3.8,13,Italy,12.5,2020,https://groceries.morrisons.com/products/veluti-pinot-grigio-274532011,6.25,0.795880017,ITA,6.25,2,3.8
white,75,The Ned Sauvignon Blanc,10,4.8,4,New Zealand,13,2020,https://groceries.morrisons.com/products/the-ned-sauvignon-blanc-349453011,10,1,NZL,10,2,0
white,75,Mud House Chile Sauvignon Blanc,5.99,2.3,3,Chile,12.5,2021,https://groceries.morrisons.com/products/mud-house-chile-sauvignon-blanc-568751011,5.99,0.777426822,CHL,5.99,1,0
white,75,Mud House Marlborough Sauvignon Blanc,9,4.4,11,New Zealand,12.5,2020,https://groceries.morrisons.com/products/mud-house-marlborough-sauvignon-blanc-263684011,9,0.954242509,NZL,9,2,4.4
white,75,Rosemount Diamond Selection Chardonnay,5.49,3,4,Australia,12.5,2019,https://groceries.morrisons.com/products/rosemount-diamond-selection-chardonnay-119923011,5.49,0.739572344,AUS,5.49,3,0
white,75,Klein St Sauvignon Blanc,6,0,0,South Africa,12.5,2021,https://groceries.morrisons.com/products/klein-st-sauvignon-blanc-421210011,6,0.77815125,ZAF,6,1,0
white,75,Hardys Bankside Chardonnay,6.5,5,5,Australia,12.5,2017,https://groceries.morrisons.com/products/hardys-bankside-chardonnay-212328011,6.5,0.812913357,AUS,6.5,5,0
white,75,I Heart Pinot Grigio,6,5,1,Hungary,12,NV,https://groceries.morrisons.com/products/i-heart-pinot-grigio-451873011,6,0.77815125,HUN,6,,0
white,75,Primo Vere Pinot Grigio,6.75,3.8,9,Italy,12.5,2020,https://groceries.morrisons.com/products/primo-vere-pinot-grigio-273278011,6.75,0.829303773,ITA,6.75,2,3.8
white,75,Jam Shed Chardonnay Australia,6,5,3,Australia,13.5,2020,https://groceries.morrisons.com/products/jam-shed-chardonnay-australia-551479011,6,0.77815125,AUS,6,2,0
white,75,Morrisons The Best Trentino Pinot Grigio,7.25,3.5,6,Italy,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-trentino-pinot-grigio-119880011,7.25,0.860338007,ITA,7.25,7,3.5
white,75,Wolf Blass Vineyards Chardonnay,6.5,3.7,3,Australia,13,2012,https://groceries.morrisons.com/products/wolf-blass-vineyards-chardonnay-119918011,6.5,0.812913357,AUS,6.5,10,0
white,75,Yellow Tail Pinot Grigio,6,5,3,Australia,11.5,2020,https://groceries.morrisons.com/products/yellow-tail-pinot-grigio-294018011,6,0.77815125,AUS,6,2,0
white,75,Casillero del Diablo Reserva Sauvignon Blanc,6.5,4.8,5,unknown,12,2021,https://groceries.morrisons.com/products/casillero-del-diablo-reserva-sauvignon-blanc-119958011,6.5,0.812913357,unknown,6.5,1,0
white,75,Kumala Sauvignon Blanc,6.25,0,0,South Africa,13,2017,https://groceries.morrisons.com/products/kumala-sauvignon-blanc-525693011,6.25,0.795880017,ZAF,6.25,5,0
white,75,Squealing Pig Sauvignon Blanc,10,3.7,3,New Zealand,13.5,2018,https://groceries.morrisons.com/products/squealing-pig-sauvignon-blanc-480656011,10,1,NZL,10,4,0
white,75,I Heart Sauvignon Blanc,6,3,2,Spain,11.5,,https://groceries.morrisons.com/products/i-heart-sauvignon-blanc-525861011,6,0.77815125,ESP,6,,0
white,75,Morrisons The Best Gavi,9,4,1,Italy,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-gavi-119879011,9,0.954242509,ITA,9,7,0
white,75,Wolf Blass Yellow Label Chardonnay,6.5,4,5,Australia,13,NV,https://groceries.morrisons.com/products/wolf-blass-yellow-label-chardonnay-212433011,6.5,0.812913357,AUS,6.5,,0
white,75,Yealands Reserve Sauvignon Blanc,7.99,5,1,New Zealand,13,2019,https://groceries.morrisons.com/products/yealands-reserve-sauvignon-blanc-565446011,7.99,0.902546779,NZL,7.99,3,0
white,75,Cono Sur Bicicleta  Sauvignon Blanc,5.75,3.6,5,Chile,13,2021,https://groceries.morrisons.com/products/cono-sur-bicicleta-sauvignon-blanc-247962011,5.75,0.759667845,CHL,5.75,1,0
white,75,Morrisons The Best Chardonnay,7.75,4.3,4,South Africa,13.5,2018,https://groceries.morrisons.com/products/morrisons-the-best-chardonnay-392549011,7.75,0.889301703,ZAF,7.75,4,0
white,75,Turner Road Reserve Chardonnay,6.5,3.8,5,California,12.5,2016,https://groceries.morrisons.com/products/turner-road-reserve-chardonnay-212332011,6.5,0.812913357,unknown,6.5,6,0
