name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Modernist Pinot Noir 2020,12.5,2020,75.0,Germany,Red,11.99,234,3.7,https://www.virginwines.co.uk/wine/Z39558102638/Modernist-Pinot-Noir,DEU,11.99,1.0788191830988487,11.99,2.0,3.7
Brio Pinot Grigio 2021,12.5,2021,75.0,Italy,White,10.99,9,4.4,https://www.virginwines.co.uk/wine/Z41948101414/Brio-Pinot-Grigio-Z41948101414,ITA,10.99,1.0409976924234905,10.99,1.0,4.4
Ripper Shiraz 2021,14.0,2021,75.0,Australia,Red,10.99,1139,4.3,https://www.virginwines.co.uk/wine/Z40409101414/Ripper-Shiraz,AUS,10.99,1.0409976924234905,10.99,1.0,4.3
Senti Prosecco Extra Dry NV,11.0,NV,75.0,Italy,Sparkling,12.99,3167,4.3,https://www.virginwines.co.uk/wine/Z37256102461/Senti-Prosecco-Extra-Dry-Z37256102461,ITA,12.99,1.113609151073028,12.99,,4.3
Billy Bosch Highwire Chenin Blanc 2021,12.0,2021,75.0,South Africa,White,10.99,1096,4.2,https://www.virginwines.co.uk/wine/Z39640101414/Billy-Bosch-Highwire-Chenin-Blanc,ZAF,10.99,1.0409976924234905,10.99,1.0,4.2
The Black Pig McLaren Vale Shiraz 2019,14.0,2019,75.0,Australia,Red,13.99,3317,4.6,https://www.virginwines.co.uk/wine/Z36793102291/The-Black-Pig-McLaren-Vale-Shiraz,AUS,13.99,1.1458177144918276,13.99,3.0,4.6
Champagne Gremillet Brut Selection NV,12.0,NV,75.0,France,Sparkling,27.99,394,4.4,https://www.virginwines.co.uk/wine/Z19437100020/Champagne-Gremillet-Brut-Selection,FRA,27.99,1.4470028984661623,27.99,,4.4
El Nubarron Carmenere 2021,13.5,2021,75.0,Chile,Red,10.99,150,4.2,https://www.virginwines.co.uk/wine/Z41545101414/El-Nubarron-Carmenere,CHL,10.99,1.0409976924234905,10.99,1.0,4.2
Savvie Marlborough Sauvignon Blanc 2021,13.0,2021,75.0,New Zealand,White,14.99,24,4.4,https://www.virginwines.co.uk/wine/Z41430103461/Savvie-Marlborough-Sauvignon-Blanc-Z41430103461,NZL,14.99,1.1758016328482794,14.99,1.0,4.4
Jose Rose 2021,12.0,2021,75.0,Spain,Rosé,8.99,150,4.1,https://www.virginwines.co.uk/wine/Z39603101414/Jose-Rose,ESP,8.99,0.9537596917332288,8.99,1.0,4.1
Perez Cruz Single Vineyard La Higuera Block 2020,13.5,2020,75.0,Chile,Red,21.99,4156,4.5,https://www.virginwines.co.uk/wine/Z35842100826/Perez-Cruz-Single-Vineyard-La-Higuera-Block,CHL,21.99,1.3422252293607904,21.99,2.0,4.5
Senti Prosecco Rose Extra Dry NV,11.0,NV,75.0,Italy,Sparkling,14.99,257,4.4,https://www.virginwines.co.uk/wine/Z40721102951/Senti-Prosecco-Rose-Extra-Dry,ITA,14.99,1.1758016328482794,14.99,,4.4
Villa des Croix Picpoul de Pinet 2021,12.5,2021,75.0,France,White,14.99,1,5.0,https://www.virginwines.co.uk/wine/Z42138102619/Villa-des-Croix-Picpoul-de-Pinet,FRA,14.99,1.1758016328482794,14.99,1.0,0.0
Black Flag Winemakers Old Vine Grenache 2018,14.0,2018,75.0,Australia,Red,25.99,49,4.5,https://www.virginwines.co.uk/wine/Z39673102291/Black-Flag-Winemakers-Old-Vine-Grenache,AUS,25.99,1.4148062795010126,25.99,4.0,4.5
The Black Pig Sauvignon Blanc 2021,12.0,2021,75.0,Australia,White,12.99,4991,4.4,https://www.virginwines.co.uk/wine/Z36689102291/The-Black-Pig-Sauvignon-Blanc,AUS,12.99,1.113609151073028,12.99,1.0,4.4
Gypsy Lee Rose White Zinfandel 2020,11.0,2020,75.0,USA,Rosé,9.99,1594,3.8,https://www.virginwines.co.uk/wine/Z36682101414/Gypsy-Lee-Rose-White-Zinfandel,unknown,9.99,0.9995654882259823,9.99,2.0,3.8
El Nubarron Semillon 2021,12.0,2021,75.0,Chile,White,10.99,82,4.1,https://www.virginwines.co.uk/wine/Z41547101414/El-Nubarron-Semillon,CHL,10.99,1.0409976924234905,10.99,1.0,4.1
