name,Mix Case?,abv,year,size,country,wine_type,price,num_review,rating,url
Cabalié 2021,0,13.0,2021,750.0,France,Red Wine,11.99,7475,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-2021/0022621
The Black Stump Durif Shiraz 2021,0,14.5,2021,750.0,Australia,Red Wine,11.99,7445,4.5,https://www.laithwaites.co.uk/product/The-Black-Stump-Durif-Shiraz-2021/0002421
Vinha do Fava Reserva 2020,0,14.5,2020,750.0,Portugal,Red Wine,15.49,544,4.5,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Reserva-2020/3943720
w/o Organic Frappato 2021,0,13.5,2021,750.0,Italy,Red Wine,11.99,158,3.8,https://www.laithwaites.co.uk/product/w/o-Organic-Frappato-2021/4160221
Cabalié (1 Litre Wine Box) 2021,0,13.0,2021,1000.0,France,Red Wine,9.99,14,4.8,https://www.laithwaites.co.uk/product/Cabali%C3%A9-(1-Litre-Wine-Box)-2021/4251121
Il Papavero NV,0,12.5,NV,750.0,Italy,Red Wine,8.99,1618,3.7,https://www.laithwaites.co.uk/product/Il-Papavero-2021/0003720
Aluado Alicante Bouschet 2021,0,12.5,2021,750.0,Portugal,Red Wine,10.99,1969,4.5,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-2021/1549721
The Great Bonza Reserve Shiraz Cabernet Sauvignon 2019,0,14.0,2019,750.0,Australia,Red Wine,12.99,510,4.2,https://www.laithwaites.co.uk/product/The-Great-Bonza-Reserve-Shiraz-Cabernet-Sauvignon-2019/3052019
Cabalié Cuvée Vieilles Vignes 2021,0,13.0,2021,750.0,France,Red Wine,14.99,5305,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Cuv%C3%A9e-Vieilles-Vignes-2021/1468521
The Waxed Bat 2021,0,14.0,2021,750.0,Argentina,Red Wine,11.99,2650,4.1,https://www.laithwaites.co.uk/product/The-Waxed-Bat-2021/0125021
Rocksand Shiraz 2020,0,14.5,2020,750.0,Portugal,Red Wine,11.99,1230,4.5,https://www.laithwaites.co.uk/product/Rocksand-Shiraz-2020/3287520
Rex Mundi Shiraz Grenache 2021,0,13.0,2021,750.0,France,Red Wine,11.99,2840,4.4,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-2021/1419121
Château Grand Bourry Costières de Nîmes 2021,0,13.0,2021,750.0,France,Red Wine,11.99,4,4.0,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Grand-Bourry-Costi%C3%A8res-de-N%C3%AEmes-2021/4094721
