wine_type,size (cL),name,price,rating,num_review,country,abv,year,url
white,75,McGuigan Black Label Shiraz,6.75,3.6,13,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-shiraz-243825011
white,75,Morrisons The Best Touraine Rose,8,3,4,France,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-touraine-rose-523765011
white,75,McGuigan Black Label Merlot,6.75,4.2,13,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-merlot-243824011
white,75,Morrisons The Best South African Sauvignon Blanc,7.5,4,9,Western Cape,12.5,2021,https://groceries.morrisons.com/products/morrisons-the-best-south-african-sauvignon-blanc-119962011
white,75,Hardys Nottage Hill Chardonnay,6.75,3.4,5,Australia,13.5,2017,https://groceries.morrisons.com/products/hardys-nottage-hill-chardonnay-119917011
white,75,McGuigan Black Label Pinot Grigio,6.75,4.1,7,Australia,11.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-pinot-grigio-211276011
white,75,McGuigan Black Label Chardonnay,6.75,2.8,4,Australia,12.5,2021,https://groceries.morrisons.com/products/mcguigan-black-label-chardonnay-119906011
white,75,Morrisons The Best Marlborough Sauvignon Blanc,9,3.7,3,New Zealand,12.5,2019,https://groceries.morrisons.com/products/morrisons-the-best-marlborough-sauvignon-blanc-283660011
white,75,Veluti Pinot Grigio,6.25,3.8,13,Italy,12.5,2020,https://groceries.morrisons.com/products/veluti-pinot-grigio-274532011
white,75,The Ned Sauvignon Blanc,10,4.8,4,New Zealand,13,2020,https://groceries.morrisons.com/products/the-ned-sauvignon-blanc-349453011
white,75,Mud House Chile Sauvignon Blanc,5.99,2.3,3,Chile,12.5,2021,https://groceries.morrisons.com/products/mud-house-chile-sauvignon-blanc-568751011
white,75,Mud House Marlborough Sauvignon Blanc,9,4.4,11,New Zealand,12.5,2020,https://groceries.morrisons.com/products/mud-house-marlborough-sauvignon-blanc-263684011
white,75,Rosemount Diamond Selection Chardonnay,5.49,3,4,Australia,12.5,2019,https://groceries.morrisons.com/products/rosemount-diamond-selection-chardonnay-119923011
white,75,Klein St Sauvignon Blanc,6,0,0,South Africa,12.5,2021,https://groceries.morrisons.com/products/klein-st-sauvignon-blanc-421210011
white,75,Hardys Bankside Chardonnay,6.5,5,5,Australia,12.5,2017,https://groceries.morrisons.com/products/hardys-bankside-chardonnay-212328011
white,75,I Heart Pinot Grigio,6,5,1,Hungary,12,NV,https://groceries.morrisons.com/products/i-heart-pinot-grigio-451873011
white,75,Primo Vere Pinot Grigio,6.75,3.8,9,Italy,12.5,2020,https://groceries.morrisons.com/products/primo-vere-pinot-grigio-273278011
white,75,Jam Shed Chardonnay Australia,6,5,3,Australia,13.5,2020,https://groceries.morrisons.com/products/jam-shed-chardonnay-australia-551479011
white,75,Morrisons The Best Trentino Pinot Grigio,7.25,3.5,6,Italy,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-trentino-pinot-grigio-119880011
white,75,Wolf Blass Vineyards Chardonnay,6.5,3.7,3,Australia,13,2012,https://groceries.morrisons.com/products/wolf-blass-vineyards-chardonnay-119918011
white,75,Yellow Tail Pinot Grigio,6,5,3,Australia,11.5,2020,https://groceries.morrisons.com/products/yellow-tail-pinot-grigio-294018011
white,75,Casillero del Diablo Reserva Sauvignon Blanc,6.5,4.8,5,,12,2021,https://groceries.morrisons.com/products/casillero-del-diablo-reserva-sauvignon-blanc-119958011
white,75,Kumala Sauvignon Blanc,6.25,0,0,South Africa,13,2017,https://groceries.morrisons.com/products/kumala-sauvignon-blanc-525693011
white,75,Squealing Pig Sauvignon Blanc,10,3.7,3,New Zealand,13.5,2018,https://groceries.morrisons.com/products/squealing-pig-sauvignon-blanc-480656011
white,75,I Heart Sauvignon Blanc,6,3,2,Spain,11.5,,https://groceries.morrisons.com/products/i-heart-sauvignon-blanc-525861011
white,75,Morrisons The Best Gavi,9,4,1,Italy,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-gavi-119879011
white,75,Wolf Blass Yellow Label Chardonnay,6.5,4,5,Australia,13,NV,https://groceries.morrisons.com/products/wolf-blass-yellow-label-chardonnay-212433011
white,75,Yealands Reserve Sauvignon Blanc,7.99,5,1,New Zealand,13,2019,https://groceries.morrisons.com/products/yealands-reserve-sauvignon-blanc-565446011
white,75,Cono Sur Bicicleta  Sauvignon Blanc,5.75,3.6,5,Chile,13,2021,https://groceries.morrisons.com/products/cono-sur-bicicleta-sauvignon-blanc-247962011
white,75,Morrisons The Best Chardonnay,7.75,4.3,4,South Africa,13.5,2018,https://groceries.morrisons.com/products/morrisons-the-best-chardonnay-392549011
white,75,Turner Road Reserve Chardonnay,6.5,3.8,5,California,12.5,2016,https://groceries.morrisons.com/products/turner-road-reserve-chardonnay-212332011
white,75,Morrisons The Best Muscadet Serve Et Maine Sur Lie,8.5,4.1,7,France,12,2015,https://groceries.morrisons.com/products/morrisons-the-best-muscadet-serve-et-maine-sur-lie-321365011
white,18.7,Mcguigan Black Label Chardonnay 187Ml,2.25,0,0,Australia,12.5,2020,https://groceries.morrisons.com/products/mcguigan-black-label-chardonnay-187ml-552691011
white,75,Black Tower Fruity White,6,3.7,3,Produce of the EU,9.5,2021,https://groceries.morrisons.com/products/black-tower-fruity-white-119864011
white,75,Morrisons The Best Chenin Blanc,8,4.7,9,Western Cape,12.5,2021,https://groceries.morrisons.com/products/morrisons-the-best-chenin-blanc-119967011
white,18.7,Yellow Tail Pinot Grigio,2.49,0,0,Australia,11.5,2019,https://groceries.morrisons.com/products/yellow-tail-pinot-grigio-551903011
white,75,Morrisons The Best Pecorino,7.25,3.8,5,Italy,13,2015,https://groceries.morrisons.com/products/morrisons-the-best-pecorino-370263011
white,75,Brancott Estate Terroir Series Reserve Sauvignon Blanc,9,4.5,6,New Zealand,13,2020,https://groceries.morrisons.com/products/brancott-estate-terroir-series-reserve-sauvignon-blanc-482570011
white,75,Chapmans Bay Sauvignon Blanc,6,0,0,South Africa,12.5,2021,https://groceries.morrisons.com/products/chapmans-bay-sauvignon-blanc-565445011
white,75,Morrisons The Best Western Australia Chardonnay,8.5,3.7,3,Australia,13,2018,https://groceries.morrisons.com/products/morrisons-the-best-western-australia-chardonnay-349451011
white,75,Morrisons The Best Touraine Sauvignon,9,3.5,2,France,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-touraine-sauvignon-119846011
white,75,Morrisons The Best Marques de los Rios Rioja Blanco,8,3.3,3,Spain,13,2020,https://groceries.morrisons.com/products/morrisons-the-best-marques-de-los-rios-rioja-blanco-383075011
white,75,The Signal Post Chenin Blanc,7.25,0,0,South Africa,12.5,2020,https://groceries.morrisons.com/products/the-signal-post-chenin-blanc-578067011
white,75,Zarper Sauvignon Blanc Gran Reserva,6.5,4,2,Chile,12.5,,https://groceries.morrisons.com/products/zarper-sauvignon-blanc-gran-reserva-378130011
white,75,Morrisons The Best Soave Classico,7.75,4,6,Italy,12,2016,https://groceries.morrisons.com/products/morrisons-the-best-soave-classico-119894011
white,75,Zalze Bush Vine Chenin Blanc,6,0,0,South Africa,13,2021,https://groceries.morrisons.com/products/zalze-bush-vine-chenin-blanc-352604011
white,75,Head Honcho Sauvignon Blanc,6,3,4,Chile,12.5,2018,https://groceries.morrisons.com/products/head-honcho-sauvignon-blanc-349455011
white,75,Morrisons The Best Verdicchio,7.25,4.1,8,Italy,12.5,2015,https://groceries.morrisons.com/products/morrisons-the-best-verdicchio-243049011
white,75,Gallo Family Vineyards Pinot Grigio White Wine,5.75,0,0,United States,11.5,2019,https://groceries.morrisons.com/products/gallo-family-vineyards-pinot-grigio-white-wine-119940011
white,75,Morrisons The Best Gruner Veltliner,8.75,4.5,10,Austria,12.5,2020,https://groceries.morrisons.com/products/morrisons-the-best-gruner-veltliner-253768011
white,75,Morrisons The Best Falanghina,7.5,4,3,Italy,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-falanghina-421302011
white,75,Blossom Hill White Wine,6,5,1,Spain,12.5,,https://groceries.morrisons.com/products/blossom-hill-white-wine-570809011
white,18.7,I Heart Pinot Grigio,2.25,0,0,Italy,12,2020,https://groceries.morrisons.com/products/i-heart-pinot-grigio-551909011
white,75,Dark Horse Chardonnay White Wine,7,4.5,34,United States,14.5,2019,https://groceries.morrisons.com/products/dark-horse-chardonnay-white-wine-411825011
white,75,Italia Pinot Grigio,7.5,3.8,4,,14.5,2018,https://groceries.morrisons.com/products/italia-pinot-grigio-119886011
white,75,Morrisons The Best Vouvray,10,3.4,10,France,12.5,,https://groceries.morrisons.com/products/morrisons-the-best-vouvray-310345011
white,75,Gary Barlow Organic White Wine,6,3.5,2,Spain,12,2020,https://groceries.morrisons.com/products/gary-barlow-organic-white-wine-570470011
white,75,Oyster Bay Chardonnay,7.99,5,2,New Zealand,13,2019,https://groceries.morrisons.com/products/oyster-bay-chardonnay-295948011
white,75,Morrisons The Best Alsace Gewurztraminer,10,4.1,16,France,14,2014,https://groceries.morrisons.com/products/morrisons-the-best-alsace-gewurztraminer-119848011
white,75,Freixenet Pinot Grigio,8.5,0,0,Italy,11.5,2019,https://groceries.morrisons.com/products/freixenet-pinot-grigio-523578011
white,18.7,Head Honcho Sauvignon Blanc,2,1,1,Chile,12,,https://groceries.morrisons.com/products/head-honcho-sauvignon-blanc-562925011
