name,abv,year,size (cL),country,wine_type,price,num_review,rating,url
Modernist Pinot Noir 2020,12.5,2020,75.0,Germany,Red,11.99,234,3.7,https://www.virginwines.co.uk/wine/Z39558102638/Modernist-Pinot-Noir
Brio Pinot Grigio 2021,12.5,2021,75.0,Italy,White,10.99,9,4.4,https://www.virginwines.co.uk/wine/Z41948101414/Brio-Pinot-Grigio-Z41948101414
Ripper Shiraz 2021,14.0,2021,75.0,Australia,Red,10.99,1139,4.3,https://www.virginwines.co.uk/wine/Z40409101414/Ripper-Shiraz
Senti Prosecco Extra Dry NV,11.0,NV,75.0,Italy,Sparkling,12.99,3167,4.3,https://www.virginwines.co.uk/wine/Z37256102461/Senti-Prosecco-Extra-Dry-Z37256102461
Billy Bosch Highwire Chenin Blanc 2021,12.0,2021,75.0,South Africa,White,10.99,1096,4.2,https://www.virginwines.co.uk/wine/Z39640101414/Billy-Bosch-Highwire-Chenin-Blanc
The Black Pig McLaren Vale Shiraz 2019,14.0,2019,75.0,Australia,Red,13.99,3317,4.6,https://www.virginwines.co.uk/wine/Z36793102291/The-Black-Pig-McLaren-Vale-Shiraz
Champagne Gremillet Brut Selection NV,12.0,NV,75.0,France,Sparkling,27.99,394,4.4,https://www.virginwines.co.uk/wine/Z19437100020/Champagne-Gremillet-Brut-Selection
El Nubarron Carmenere 2021,13.5,2021,75.0,Chile,Red,10.99,150,4.2,https://www.virginwines.co.uk/wine/Z41545101414/El-Nubarron-Carmenere
Savvie Marlborough Sauvignon Blanc 2021,13.0,2021,75.0,New Zealand,White,14.99,24,4.4,https://www.virginwines.co.uk/wine/Z41430103461/Savvie-Marlborough-Sauvignon-Blanc-Z41430103461
Jose Rose 2021,12.0,2021,75.0,Spain,Rosé,8.99,150,4.1,https://www.virginwines.co.uk/wine/Z39603101414/Jose-Rose
Perez Cruz Single Vineyard La Higuera Block 2020,13.5,2020,75.0,Chile,Red,21.99,4156,4.5,https://www.virginwines.co.uk/wine/Z35842100826/Perez-Cruz-Single-Vineyard-La-Higuera-Block
Senti Prosecco Rose Extra Dry NV,11.0,NV,75.0,Italy,Sparkling,14.99,257,4.4,https://www.virginwines.co.uk/wine/Z40721102951/Senti-Prosecco-Rose-Extra-Dry
Villa des Croix Picpoul de Pinet 2021,12.5,2021,75.0,France,White,14.99,1,5.0,https://www.virginwines.co.uk/wine/Z42138102619/Villa-des-Croix-Picpoul-de-Pinet
