,name,country,wine_type,year,scaled_price,score,num_review,abv,age,size(cL),logprice
0,Enate Chardonnay 234,Spain,white,2021.0,10.55,4.9,52,13.5,1.0,75.0,1.0232524596337116
1,José Pariente Verdejo,Spain,white,2021.0,11.33,4.8,26,13.0,1.0,75.0,1.0542299098633972
2,The Flower and the Bee,Spain,white,2021.0,10.85,4.8,15,13.0,1.0,75.0,1.0354297381845483
3,Can Sumoi Xarel·lo,Spain,white,2021.0,13.64,0.0,2,14.0,1.0,75.0,1.13481437032046
4,Martín Codax Albariño,Spain,white,2021.0,13.73,4.8,6,12.0,1.0,75.0,1.137670537236755
5,Faustino V Blanco,Spain,white,2020.0,7.46,4.8,23,12.5,2.0,75.0,0.8727388274726688
6,Terras Gauda,Spain,white,2021.0,15.32,4.8,25,12.5,1.0,75.0,1.1852587652965851
7,Marqués de Cáceres Blanco,Spain,white,2021.0,7.55,5.0,8,12.5,1.0,75.0,0.8779469516291882
8,Torres Viña Esmeralda,Spain,white,2021.0,10.0,4.4,14,11.5,1.0,75.0,1.0
9,Maison Orcia Saint Véran,France,white,2017.0,9.61,0.0,0,12.5,5.0,75.0,0.9827233876685453
10,Leirana Albariño,Spain,white,2021.0,16.17,4.7,7,12.5,1.0,75.0,1.2087100199064011
11,Paco & Lola,Spain,white,2021.0,12.66,4.5,11,12.5,1.0,75.0,1.1024337056813363
12,Muga Blanco,Spain,white,2021.0,12.91,4.2,9,13.0,1.0,75.0,1.1109262422664203
13,Palacio de Bornos Verdejo,Spain,white,2021.0,8.15,4.9,15,13.0,1.0,75.0,0.9111576087399766
14,Bicicletas y Peces Verdejo,Spain,white,2021.0,10.68,0.0,1,13.0,1.0,75.0,1.0285712526925377
15,El Coto Blanco,Spain,white,2021.0,8.15,4.8,18,12.0,1.0,75.0,0.9111576087399766
16,Enate Gewürztraminer,Spain,white,2021.0,12.36,5.0,6,13.5,1.0,75.0,1.0920184707527971
17,Honoro Vera Blanco Rueda,Spain,white,2020.0,7.81,0.0,3,13.5,2.0,75.0,0.8926510338773003
18,Faustino VII Blanco,Spain,white,2021.0,6.78,5.0,14,11.5,1.0,75.0,0.8312296938670634
19,Monte Pío Albariño,Spain,white,2021.0,15.36,0.0,0,12.5,1.0,75.0,1.1863912156954932
20,Barbadillo Castillo de San Diego,Spain,white,2021.0,7.25,4.7,6,13.0,1.0,75.0,0.8603380065709937
21,El Grifo Malvasía Colección Seco,Spain,white,2021.0,17.68,4.7,14,13.0,1.0,75.0,1.2474822606770544
22,Juan Gil Moscatel Seco,Spain,white,2021.0,8.32,4.4,15,13.5,1.0,75.0,0.9201233262907239
23,Soalheiro Allo,Portugal,white,2021.0,9.91,0.0,3,11.0,1.0,75.0,0.9960736544852753
24,Nora,Spain,white,2021.0,12.87,0.0,1,13.0,1.0,75.0,1.1095785469043866
25,K-Naia,Spain,white,2021.0,7.59,4.7,18,13.0,1.0,75.0,0.8802417758954804
26,San Valentín,Spain,white,2021.0,7.89,4.9,34,10.5,1.0,75.0,0.8970770032094203
27,Albariño de Fefiñanes,Spain,white,2021.0,15.87,4.9,9,13.5,1.0,75.0,1.2005769267548483
28,Marieta,Spain,white,2021.0,11.45,4.6,9,11.5,1.0,75.0,1.0588054866759067
29,Occhipinti SP68 Bianco,Italy,white,2021.0,,0.0,0,12.0,1.0,75.0,
30,Barón de Ley Blanco Semidulce,Spain,white,2021.0,9.35,0.0,4,10.5,1.0,75.0,0.9708116108725178
31,Bermejo Malvasía Seco,Spain,white,2021.0,17.68,4.8,16,13.0,1.0,75.0,1.2474822606770544
32,Raventós d'Alella Pansa Blanca,Spain,white,2021.0,10.17,0.0,3,12.5,1.0,75.0,1.0073209529227445
33,Bico da Ran,Spain,white,2021.0,,0.0,2,12.5,1.0,75.0,
34,Fan D'Oro,Spain,white,2021.0,14.97,0.0,3,13.5,1.0,75.0,1.1752218003430523
35,Viña Zorzal Garnacha Blanca,Spain,white,2020.0,9.48,0.0,3,13.5,2.0,75.0,0.9768083373380663
36,Muros Antigos Escolha,Portugal,white,2021.0,7.98,0.0,0,12.0,1.0,75.0,0.9020028913507294
37,Paco & Lola Prime,Spain,white,2019.0,15.92,0.0,2,12.5,3.0,75.0,1.2019430634016501
38,Marqués de Cáceres Verdejo,Spain,white,2021.0,7.98,0.0,2,13.0,1.0,75.0,0.9020028913507294
39,Livio Felluga Pinot Grigio,Italy,white,2021.0,21.89,0.0,0,13.0,1.0,75.0,1.3402457615679317
40,Domaine Nathalie et Gilles Fevre Chablis,France,white,2021.0,16.0,0.0,1,12.5,1.0,75.0,1.2041199826559248
41,Txomin Etxaniz,Spain,white,2021.0,11.54,4.7,12,11.0,1.0,75.0,1.0622058088197126
