name,abv,year,size(cL),country,wine_type,price,num_review,rating,url,countrycode,scaled_price,logprice,price_fixed,age,score
Cabalié 2021,13.0,2021,75.0,France,Red Wine,11.99,7475.0,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-2021/0022621,FRA,11.99,1.0788191830988487,11.99,1.0,4.5
The Black Stump Durif Shiraz 2021,14.5,2021,75.0,Australia,Red Wine,11.99,7445.0,4.5,https://www.laithwaites.co.uk/product/The-Black-Stump-Durif-Shiraz-2021/0002421,AUS,11.99,1.0788191830988487,11.99,1.0,4.5
Vinha do Fava Reserva 2020,14.5,2020,75.0,Portugal,Red Wine,15.49,544.0,4.5,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Reserva-2020/3943720,PRT,15.49,1.190051417759206,15.49,2.0,4.5
w/o Organic Frappato 2021,13.5,2021,75.0,Italy,Red Wine,11.99,158.0,3.8,https://www.laithwaites.co.uk/product/w/o-Organic-Frappato-2021/4160221,ITA,11.99,1.0788191830988487,11.99,1.0,3.8
Cabalié (1 Litre Wine Box) 2021,13.0,2021,100.0,France,Red Wine,9.99,14.0,4.8,https://www.laithwaites.co.uk/product/Cabali%C3%A9-(1-Litre-Wine-Box)-2021/4251121,FRA,7.4925,0.8746267516176823,9.99,1.0,4.8
Il Papavero NV,12.5,NV,75.0,Italy,Red Wine,8.99,1618.0,3.7,https://www.laithwaites.co.uk/product/Il-Papavero-2021/0003720,ITA,8.99,0.9537596917332288,8.99,,3.7
Aluado Alicante Bouschet 2021,12.5,2021,75.0,Portugal,Red Wine,10.99,1969.0,4.5,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-2021/1549721,PRT,10.99,1.0409976924234905,10.99,1.0,4.5
The Great Bonza Reserve Shiraz Cabernet Sauvignon 2019,14.0,2019,75.0,Australia,Red Wine,12.99,510.0,4.2,https://www.laithwaites.co.uk/product/The-Great-Bonza-Reserve-Shiraz-Cabernet-Sauvignon-2019/3052019,AUS,12.99,1.113609151073028,12.99,3.0,4.2
Cabalié Cuvée Vieilles Vignes 2021,13.0,2021,75.0,France,Red Wine,14.99,5305.0,4.5,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Cuv%C3%A9e-Vieilles-Vignes-2021/1468521,FRA,14.99,1.1758016328482794,14.99,1.0,4.5
The Waxed Bat 2021,14.0,2021,75.0,Argentina,Red Wine,11.99,2650.0,4.1,https://www.laithwaites.co.uk/product/The-Waxed-Bat-2021/0125021,ARG,11.99,1.0788191830988487,11.99,1.0,4.1
Rocksand Shiraz 2020,14.5,2020,75.0,Portugal,Red Wine,11.99,1230.0,4.5,https://www.laithwaites.co.uk/product/Rocksand-Shiraz-2020/3287520,PRT,11.99,1.0788191830988487,11.99,2.0,4.5
Rex Mundi Shiraz Grenache 2021,13.0,2021,75.0,France,Red Wine,11.99,2840.0,4.4,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-2021/1419121,FRA,11.99,1.0788191830988487,11.99,1.0,4.4
Château Grand Bourry Costières de Nîmes 2021,13.0,2021,75.0,France,Red Wine,11.99,4.0,4.0,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Grand-Bourry-Costi%C3%A8res-de-N%C3%AEmes-2021/4094721,FRA,11.99,1.0788191830988487,11.99,1.0,0.0
Opi Malbec 2021,13.0,2021,75.0,Argentina,Red Wine,10.99,2761.0,4.0,https://www.laithwaites.co.uk/product/Opi-Malbec-2021/2582521,ARG,10.99,1.0409976924234905,10.99,1.0,4.0
Pillastro Primitivo 2021,13.5,2021,75.0,Italy,Red Wine,11.99,5639.0,4.4,https://www.laithwaites.co.uk/product/Pillastro-Primitivo-2021/0016921,ITA,11.99,1.0788191830988487,11.99,1.0,4.4
