,name,wine_type,country,year,price,scaledprice,score,num_review,abv,size(cL),age,logprice
0,Modernist Pinot Noir 2020,Red,Germany,2020,11.99,11.99,3.7,234,12.5,75.0,2.0,1.0788191830988487
1,Brio Pinot Grigio 2021,White,Italy,2021,10.99,10.99,4.4,9,12.5,75.0,1.0,1.0409976924234905
2,Ripper Shiraz 2021,Red,Australia,2021,10.99,10.99,4.3,1138,14.0,75.0,1.0,1.0409976924234905
3,Senti Prosecco Extra Dry NV,Sparkling,Italy,Non Vintage,12.99,12.99,4.3,3167,11.0,75.0,,1.113609151073028
4,Billy Bosch Highwire Chenin Blanc 2021,White,South Africa,2021,10.99,10.99,4.2,1096,12.0,75.0,1.0,1.0409976924234905
5,The Black Pig McLaren Vale Shiraz 2019,Red,Australia,2019,13.99,13.99,4.6,3317,14.0,75.0,3.0,1.1458177144918276
6,Champagne Gremillet Brut Selection NV,Sparkling,France,Non Vintage,27.99,27.99,4.4,394,12.0,75.0,,1.4470028984661623
7,El Nubarron Carmenere 2021,Red,Chile,2021,10.99,10.99,4.2,150,13.5,75.0,1.0,1.0409976924234905
8,Savvie Marlborough Sauvignon Blanc 2021,White,New Zealand,2021,14.99,14.99,4.4,24,13.0,75.0,1.0,1.1758016328482794
9,Jose Rose 2021,Rose,Spain,2021,8.99,8.99,4.1,150,12.0,75.0,1.0,0.9537596917332288
10,Perez Cruz Single Vineyard La Higuera Block 2020,Red,Chile,2020,21.99,21.99,4.5,4156,13.5,75.0,2.0,1.3422252293607904
11,Senti Prosecco Rose Extra Dry NV,Sparkling,Italy,Non Vintage,14.99,14.99,4.4,257,11.0,75.0,,1.1758016328482794
12,Villa des Croix Picpoul de Pinet 2021,White,France,2021,14.99,14.99,0.0,1,12.5,75.0,1.0,1.1758016328482794
13,Black Flag Winemakers Old Vine Grenache 2018,Red,Australia,2018,25.99,25.99,4.5,49,14.0,75.0,4.0,1.4148062795010126
14,The Black Pig Sauvignon Blanc 2021,White,Australia,2021,12.99,12.99,4.4,4991,12.0,75.0,1.0,1.113609151073028
15,Gypsy Lee Rose White Zinfandel 2020,Rose,USA,2020,9.99,9.99,3.8,1594,11.0,75.0,2.0,0.9995654882259823
16,El Nubarron Semillon 2021,White,Chile,2021,10.99,10.99,4.1,82,12.0,75.0,1.0,1.0409976924234905
17,Hielo y Fuego Merlot 2021,Red,Chile,2021,10.99,10.99,3.9,1157,13.0,75.0,1.0,1.0409976924234905
18,Hummingbird Verdelho 2021,White,Australia,2021,9.99,9.99,4.2,2723,12.5,75.0,1.0,0.9995654882259823
19,Ombra Prosecco Frizzante NV,Sparkling,Italy,Non Vintage,12.99,12.99,4.1,710,11.0,75.0,,1.113609151073028
20,Domaine Giraud Chateauneuf-du-Pape 2020,Red,France,2020,37.99,37.99,4.0,9,15.5,75.0,2.0,1.5796692935547203
21,Kurt Angerer Kies Gruner Veltliner 2020,White,Austria,2020,13.99,13.99,4.0,55,13.0,75.0,2.0,1.1458177144918276
22,Depasso Nero d'Avola Leggermente Appassito 2020,Red,Italy,2020,14.99,14.99,4.4,1658,14.0,75.0,2.0,1.1758016328482794
23,The Black Pig Viognier 2021,White,Australia,2021,11.99,11.99,4.3,3168,13.5,75.0,1.0,1.0788191830988487
24,Les Arbousiers Coteaux du Languedoc Cinsault Grenache Rose 2020,Rose,France,2020,11.99,11.99,4.1,1454,13.5,75.0,2.0,1.0788191830988487
25,Louis Moreau Chablis 2019,White,France,2019,17.0,17.0,4.3,494,12.5,75.0,3.0,1.2304489213782739
26,Mercurey Les Bois de Lalier Jean-Baptiste Jessiaume 2020,White,France,2020,26.99,26.99,0.0,0,13.0,75.0,2.0,1.4312028845565166
27,The Benevolent Carmenere 2021,Red,Chile,2021,11.99,11.99,4.0,19,13.5,75.0,1.0,1.0788191830988487
28,Eghemon Passimiento 2020,Red,Italy,2020,15.99,15.99,4.6,1193,13.5,75.0,2.0,1.2038484637462348
29,Ali di Api Pinot Grigio 2021,White,Italy,2021,9.99,9.99,3.7,29,12.5,75.0,1.0,0.9995654882259823
30,Finca Manzanos Seleccion de la Familia Rioja Blanco 2020,White,Spain,2020,11.99,11.99,4.0,2314,12.5,75.0,2.0,1.0788191830988487
31,Quintas do Homem Domum Vinho Verde 2020,White,Portugal,2020,11.99,11.99,4.0,1363,12.0,75.0,2.0,1.0788191830988487
32,Les Arbousiers Reserve Coteaux du Languedoc 2020,Red,France,2020,11.99,11.99,4.0,1126,13.0,75.0,2.0,1.0788191830988487
33,Kraft des Landes Gruner Veltliner 2020,White,Austria,2020,13.99,13.99,4.2,65,12.5,75.0,2.0,1.1458177144918276
34,The Benevolent Cabernet Merlot Petit Verdot 2021,Red,Australia,2021,11.99,11.99,3.2,8,14.0,75.0,1.0,1.0788191830988487
35,Tall Gum Sauvignon Blanc 2021,White,Australia,2021,11.99,11.99,0.0,0,13.0,75.0,1.0,1.0788191830988487
36,Hattingley Valley Classic Reserve Brut NV,Sparkling,United Kingdom,Non Vintage,32.0,32.0,4.1,7,12.0,75.0,,1.505149978319906
37,The Cup & Rings Mencia 2016,Red,Spain,2016,14.99,14.99,0.0,1,13.0,75.0,6.0,1.1758016328482794
38,The Benevolent Pinot Grigio 2021,White,Chile,2021,11.99,11.99,4.5,20,9.5,75.0,1.0,1.0788191830988487
39,Albacore Reserve Shiraz 2020,Red,Australia,2020,12.99,12.99,4.4,3050,14.0,75.0,2.0,1.113609151073028
40,Weingut Langguth Enkircher Ellergrub Riesling Alte Reben 2020,White,Germany,2020,19.99,19.99,0.0,0,11.0,75.0,2.0,1.300812794118117
41,Litmus Element 20 2014,White,United Kingdom,2014,19.99,19.99,3.8,18,12.0,75.0,8.0,1.300812794118117
42,La Traversee 2018,Red,France,2018,29.99,29.99,4.6,97,14.0,75.0,4.0,1.476976465759527
43,Chateau Musar Hochar Pere et Fils 2018,Red,Lebanon,2018,17.99,17.99,4.3,45,14.0,75.0,4.0,1.2550311633455513
44,El Zumbido Viura 2021,White,Spain,2021,9.99,9.99,3.9,2345,12.0,75.0,1.0,0.9995654882259823
45,Bastions V Shiraz 2021,Red,South Africa,2021,10.99,10.99,4.2,1223,14.0,75.0,1.0,1.0409976924234905
46,Reserve de Millenaire Tete de Cuvee Bourgogne Blanc 2020,White,France,2020,11.99,11.99,3.8,402,13.0,75.0,2.0,1.0788191830988487
47,Finca Manzanos Seleccion de la Familia Rioja 2020,Red,Spain,2020,11.99,11.99,4.1,2939,13.5,75.0,2.0,1.0788191830988487
48,Ulrich Langguth Piesporter Goldtropfchen Trocken Grosses Gewachs 2018,White,Germany,2018,24.99,24.99,0.0,0,12.0,75.0,4.0,1.39776625612645
49,Tuffers' Tipple Without a Paddle Chardonnay 2021,White,Australia,2021,12.99,12.99,0.0,0,13.5,75.0,1.0,1.113609151073028
50,La Serena Gemini Brunello di Montalcino DOCG Riserva 2016,Red,Italy,2016,69.99,69.99,0.0,0,15.0,75.0,6.0,1.845035993513415
51,The Comeback Kid Langhorne Creek Cabernet 2020,Red,Australia,2020,16.99,16.99,4.4,54,14.5,75.0,2.0,1.2301933788690456
52,Black Flag Winemakers Adelaide Hills Chardonnay 2020,White,Australia,2020,16.99,16.99,4.1,63,13.0,75.0,2.0,1.2301933788690456
53,Three Gables Western Cape Cinsault Malbec 2021,Red,South Africa,2021,11.99,11.99,3.9,59,13.5,75.0,1.0,1.0788191830988487
54,Johann Wolf Pinot Gris 2020,White,Germany,2020,10.99,10.99,4.1,213,12.5,75.0,2.0,1.0409976924234905
55,Sherwood Estate Stratum Pinot Noir 2020,Red,New Zealand,2020,13.99,13.99,4.0,59,13.0,75.0,2.0,1.1458177144918276
56,Bendico Terre Siciliane Vermentino 2020,White,Italy,2020,9.99,9.99,4.1,602,12.5,75.0,2.0,0.9995654882259823
57,Hiestand Asia de Cuba Riesling NV,White,Germany,Non Vintage,14.99,14.99,4.2,265,10.5,75.0,,1.1758016328482794
58,Que Syrah Syrah 2020,Red,USA,2020,10.99,10.99,3.9,690,14.0,75.0,2.0,1.0409976924234905
59,Chateau Macquin St Georges St Emilion 2018,Red,France,2018,16.99,16.99,4.3,63,14.5,75.0,4.0,1.2301933788690456
60,Tuffers' Tipple Up The Creek Shiraz 2020,Red,Australia,2020,12.99,12.99,0.0,1,14.0,75.0,2.0,1.113609151073028
61,La Serena Rosso di Montalcino DOC 2018,Red,Italy,2018,19.99,19.99,0.0,0,14.0,75.0,4.0,1.300812794118117
62,Seraph Sauvignon Blanc 2020,White,France,2020,11.99,11.99,3.9,2251,12.0,75.0,2.0,1.0788191830988487
63,Pizo Carinena 2021,Red,Spain,2021,9.99,9.99,4.1,2231,14.0,75.0,1.0,0.9995654882259823
64,Chateau Dereszla Furmint Dry 2019,White,Hungary,2019,11.99,11.99,4.1,82,12.0,75.0,3.0,1.0788191830988487
65,Billy Bosch Semillon 2021,White,South Africa,2021,9.99,9.99,4.2,774,13.0,75.0,1.0,0.9995654882259823
