rating,num_review,wine_type,size (cL),name,price,country,abv,year,url
4.9,52,white,75.0,Enate Chardonnay 234,10.55,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/enate-chardonnay-234.html#/1-volume-75_cl/201-year-2021
4.8,26,white,75.0,José Pariente Verdejo,11.33,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/jose-pariente-verdejo.html#/1-volume-75_cl/201-year-2021
4.8,15,white,75.0,The Flower and the Bee,10.85,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/the-flower-and-the-bee.html#/1-volume-75_cl/201-year-2021
5.0,2,white,75.0,Can Sumoi Xarel·lo,13.64,Spain,14.0,2021.0,https://www.decantalo.com/uk/en/can-sumoi-xarello.html#/1-volume-75_cl/201-year-2021
4.8,6,white,75.0,Martín Codax Albariño,13.73,Spain,12.0,2021.0,https://www.decantalo.com/uk/en/martin-codax-albarino.html#/1-volume-75_cl/201-year-2021
4.8,23,white,75.0,Faustino V Blanco,7.46,Spain,12.5,2020.0,https://www.decantalo.com/uk/en/faustino-v-blanco.html#/1-volume-75_cl/158-year-2020
4.8,25,white,75.0,Terras Gauda,15.32,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/terras-gauda.html#/1-volume-75_cl/201-year-2021
5.0,8,white,75.0,Marqués de Cáceres Blanco,7.55,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/marques-de-caceres-blanco.html#/1-volume-75_cl/201-year-2021
4.4,14,white,75.0,Torres Viña Esmeralda,10.0,Spain,11.5,2021.0,https://www.decantalo.com/uk/en/torres-vina-esmeralda.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Maison Orcia Saint Véran,9.61,France,12.5,2017.0,https://www.decantalo.com/uk/en/maison-orcia-saint-veran.html#/1-volume-75_cl/180-year-2017
4.7,7,white,75.0,Leirana Albariño,16.17,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/leirana-albarino.html#/1-volume-75_cl/201-year-2021
4.5,11,white,75.0,Paco & Lola,12.66,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/paco--lola.html#/1-volume-75_cl/201-year-2021
4.2,9,white,75.0,Muga Blanco,12.91,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/muga-blanco.html#/1-volume-75_cl/201-year-2021
4.9,15,white,75.0,Palacio de Bornos Verdejo,8.15,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/palacio-de-bornos-verdejo.html#/1-volume-75_cl/201-year-2021
5.0,1,white,75.0,Bicicletas y Peces Verdejo,10.68,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/bicicletas-y-peces-verdejo.html#/1-volume-75_cl/201-year-2021
4.8,18,white,75.0,El Coto Blanco,8.15,Spain,12.0,2021.0,https://www.decantalo.com/uk/en/el-coto-blanco.html#/1-volume-75_cl/201-year-2021
5.0,6,white,75.0,Enate Gewürztraminer,12.36,Spain,13.5,2021.0,https://www.decantalo.com/uk/en/enate-gewurztraminer.html#/1-volume-75_cl/201-year-2021
5.0,3,white,75.0,Honoro Vera Blanco Rueda,7.81,Spain,13.5,2020.0,https://www.decantalo.com/uk/en/honoro-vera-blanco-rueda.html#/1-volume-75_cl/158-year-2020
5.0,14,white,75.0,Faustino VII Blanco,6.78,Spain,11.5,2021.0,https://www.decantalo.com/uk/en/faustino-vii-blanco.html#/1-volume-75_cl/201-year-2021
0.0,0,white,75.0,Monte Pío Albariño,15.36,Spain,12.5,2021.0,https://www.decantalo.com/uk/en/monte-pio-albarino.html#/1-volume-75_cl/201-year-2021
4.7,6,white,75.0,Barbadillo Castillo de San Diego,7.25,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/barbadillo-castillo-de-san-diego.html#/1-volume-75_cl/201-year-2021
4.7,14,white,75.0,El Grifo Malvasía Colección Seco,17.68,Spain,13.0,2021.0,https://www.decantalo.com/uk/en/el-grifo-malvasia-coleccion-seco.html#/1-volume-75_cl/201-year-2021
