,Name,Country,Type,Year,Price,Rating,Review,Size,ABV
0, Wines of the Year Mix 2022 ,Read more," Wines of the Year Mix 2022 The results are in ... introducing our standout bottles of the year – SAVE up to £105 Wines of the Year is one of the biggest events in our calendar and we know customers enjoy the ‘big reveal’. Choosing the champions was a labour of love. We’ve been shortlisting since last Christmas, using factors like 5-star reviews, re-order rates and press acclaim. ‘Hot tickets’ like South African whites and French classics could earn bonus points. Then came a final re-tasting, to determine what’s drinking really well right now. And make no mistake, the winners are drinking BEAUTIFULLY. Every year customers stock up on the winners so we’ve also added a bulk deal to make it as convenient as possible. Take two cases and pay just £7.99 a bottle, saving £105, with FREE delivery included. Here’s to the winners! ",['2022'],Not found,4.5,['543'], 750.00 ml , 14.5% ABV 
1, Cabalié 2021 , France , Red - Medium to full bodied ,['2021'],£11.99,4.5/5,['7469'], 750.00 ml , 13.0% ABV 
2, The Dip 2021 , Spain , Red - Medium to full bodied ,['2021'],£10.99,4.2/5,['173'], 750.00 ml , 14.5% ABV 
3, Italian Whites Clearance Sale Mix ,Read more," Italian Whites Clearance Sale Mix Prosecco, Gavi, even a luxury Pinot Grigio … classic whites of Italy with 30% OFF Calling fans of crisp, charming whites! This is the SOS Clearance deal for you. A mix of real classics from all across Italy, with a BIG 30% saving. You can look forward to a host of bestsellers alongside a sprinkling of ‘next level’ treats. Like crisp Gavi and creamy Soave, two of Italy’s most revered styles. But the highlight of the case has to be East by North East Pinot Grigio (normally £19.99) – made at an elite winery listed in Wine Spectator’s ‘Top 100 Wineries’. And today’s saving means you pay JUST £8.34 a bottle for the lot. Hurry, deal ends 4pm 28th October. ",[],Not found,4.0,['95'], 750.00 ml , 12.5% ABV 
4, McPherson Don't Tell Gary Shiraz 2019 , Australia , Red - Full bodied ,['2019'],£16.49,4.1/5,['51'], 750.00 ml , 14.5% ABV 
5, The Château Vartely Mix ,Read more," The Château Vartely Mix Celebrating our WINERY OF THE YEAR with a showcase of their 5-star wines – just £7.99 a bottle The first requirement for our Winery of the Year is that they must be making great wines that customers love. Château Vartely have done that for two decades. But it’s been a year like no other for our friends at this modern estate in Moldova ... and their kindness makes them worthy winners of this special award. When Russia invaded Ukraine, thousands of refugees crossed into tiny Moldova. The team at Château Vartely, just 30km from the border, repurposed their winery hotel to feed and house refugees. They’re an inspiration. If you’ve yet to discover this great little winery, this is your perfect opportunity. We guarantee you’ll adore their wines, sent with much love. Château Vartely, we salute you. ",[],Not found,3.3,['15'], 750.00 ml , 13.5% ABV 
6, Rex Mundi Family Mix ,Read more," Rex Mundi Family Mix Bestselling Rex Mundi plus its luxury edition – SAVE up to £144 Direct from the dark heart of southern France emerges a devilish duo of sinfully indulgent wines to fill your glass with the most irresistible flavours. First, you’ve 9 bottles of bestselling Rex Mundi – worshipped by an ever-growing legion of devoted Black Red lovers. Next you’ve 3 bottles of Rex Mundi Cuvée Cathare, an elevation on the original in every way. Old vine fruit and ageing in fine oak add a sumptuous intensity of flavour that few can resist. Take one case for just £8.99 a bottle. But for the BEST price, stock up with two cases for just £7.99 a bottle ... meaning you SAVE £144. ",[],Not found,4.4,['282'], 750.00 ml , 14.5% ABV 
7, w/o Organic Frappato 2021 ,See the full range, Red - Medium Bodied ,['2021'],£11.99,3.8/5,['158'], 750.00 ml , 13.5% ABV 
8, 5-star Bestsellers Mix ,Read more, 5-star Bestsellers Mix Crowd-pleasing favourites from just £7.99 a bottle Boasting knockout flavours ... rave reviews ... and repeat orders galore. These are the crown jewels of our cellar. You can be sure that every wine in this mix delivers the kinds of irresistible flavours that just make you want to keep sipping. Richly rewarding reds alongside ultra-fresh whites – enjoy the lot today from JUST £7.99 a bottle when take two cases plus FREE delivery. ,[],Not found,3.8,['1670'], 750.00 ml , 12.0% ABV 
9, L'Occhiolino Sparkling Red 2021 , Italy , Red - Medium Bodied ,['2021'],£12.00,3.6/5,['66'], 750.00 ml , 7.5% ABV 
