,Name,Country,Type,Year,Price,Rating,Review,Size,ABV
0, Cabalié 2021 , France , Red ,2021,11.99,4.5,7474, 750.00  , 13.0  
1, The Black Stump Durif Shiraz 2021 , Australia , Red ,2021,11.99,4.5,7445, 750.00  , 14.5  
2, Vinha do Fava Reserva 2020 , Portugal , Red ,2020,15.49,4.5,543, 750.00  , 14.5  
3, w/o Organic Frappato 2021 ,See the full range, Red ,2021,11.99,3.8,158, 750.00  , 13.5  
4, Pillastro Primitivo 2020 , Italy , Red ,2020,11.99,4.4,5873, 750.00  , 13.5  
5, Aluado Alicante Bouschet 2021 , Portugal , Red ,2021,10.99,4.5,1967, 750.00  , 12.5  
6, Farinelli Pinot Grigio 2021 , Italy , White ,2021,7.99,4.0,377, 750.00  , 12.5  
7, Cabalié Blanc 2021 , France , White ,2021,11.99,4.4,1074, 750.00  , 11.5  
8, Hacienda de Lluna Moscatel Rosado 2021 , Spain , Rosé ,2021,5.29,4.1,428, 750.00  , 5.0  
9, Brezza Bianca Frizzante Prosecco NV , Italy , White ,NV,8.49,4.3,244, 750.00  , 11.0  
10, Lobster Shack Sauvignon Blanc 2022 , South Africa , White ,2022,10.99,4.3,132, 750.00  , 12.5  
11, The Great Bonza Reserve Shiraz Cabernet Sauvignon 2019 , Australia , Red ,2019,12.99,4.2,510, 750.00  , 14.0  
12, Abbesse Sauvignon Blanc 2021 , France , White ,2021,10.99,4.0,1071, 750.00  , 11.5  
13, Wolf Point Sauvignon Blanc 2021 , Chile , White ,2021,9.99,3.9,464, 750.00  , 12.5  
14, The Hour-Teller Sauvignon Blanc 2021 , New Zealand , White ,2021,14.99,4.2,436, 750.00  , 13.0  
15, Cabalié Cuvée Vieilles Vignes 2021 , France , Red ,2021,14.99,4.5,5303, 750.00  , 13.0  
16, The Waxed Bat 2021 , Argentina , Red ,2021,11.99,4.1,2650, 750.00  , 14.0  
17, The Gooseberry Bush 2021 , South Africa , White ,2021,10.99,4.1,2255, 750.00  , 12.0  
18, Rapaura Springs Reserve Sauvignon Blanc 2021 , New Zealand , White ,2021,18.99,4.6,236, 750.00  , 13.5  
19, Roche Lacour Crémant de Limoux 2020 , France , White ,2020,15.99,4.5,366, 750.00  , 12.5  
20, La Nantaise Réserve 2021 , France , White ,2021,12.99,3.9,168, 750.00  , 12.0  
21, Il Papavero Pinot Grigio 2021 , Italy , White ,2021,10.99,4.0,790, 750.00  , 12.0  
22, Rocksand Shiraz 2020 , Portugal , Red ,2020,11.99,4.5,1230, 750.00  , 14.5  
23, Rex Mundi Shiraz Grenache 2021 , France , Red ,2021,11.99,4.4,2839, 750.00  , 13.0  
24, Hole in the Clouds Sauvignon Blanc 2021 , New Zealand , White ,2021,14.99,4.5,622, 750.00  , 13.0  
25, Château Grand Bourry Costières de Nîmes 2021 , France , Red ,2021,11.99,4.0,4, 750.00  , 13.0  
26, Alessandro Gallici Pinot Grigio 2021 , Italy , White ,2021,11.99,3.9,1128, 750.00  , 12.0  
27, Opi Malbec 2021 , Argentina , Red ,2021,10.99,4.0,2758, 750.00  , 13.0  
28, Limited Release Syrah 2019 , Chile , Red ,2019,Not found,3.6,26, 750.00  , 13.5  
29, The Raspberry Bush Rosé 2021 , South Africa , Rosé ,2021,Not found,4.3,53, 750.00  , 13.0  
30, Pillastro Primitivo 2021 , Italy , Red ,2021,11.99,4.4,5637, 750.00  , 13.5  
31, Bees Knees Chenin Blanc Viognier 2022 , South Africa , White ,2022,11.99,4.1,538, 750.00  , 12.5  
32, Clarendelle Bordeaux Inspired by Haut-Brion 2016 , France , Red ,2016,19.99,4.0,6, 750.00  , 13.5  
33, McPherson Don't Tell Gary Shiraz 2019 , Australia , Red ,2019,16.49,4.1,51, 750.00  , 14.5  
34, Didier Chopin Brut Champagne NV , France , White ,NV,19.99,4.2,163, 750.00  , 12.0  
35, Posada del Rey Tinto NV , Spain , Red ,NV,7.99,3.3,639, 750.00  , 13.5  
36, McPherson The Full Fifteen 2021 , Australia , Red ,2021,11.99,4.3,2191, 750.00  , 15.0  
37, The Raspberry Bush Rosé 2022 , South Africa , Rosé ,2022,9.99,4.4,47, 750.00  , 14.0  
38, The Dip 2021 , Spain , Red ,2021,10.99,4.2,173, 750.00  , 14.5  
39, Ermita de San Lorenzo Gran Selección 2015 , Spain , Red ,2015,12.99,3.3,406, 750.00  , 14.0  
40, Lobo e Falcão 2021 , Portugal , Red ,2021,11.99,4.4,2063, 750.00  , 13.5  
41, L'Occhiolino Sparkling Red 2021 , Italy , Red ,2021,12.0,3.6,67, 750.00  , 7.5  
42, Barón de Barbón Oak Aged Rioja 2020 , Spain , Red ,2020,11.99,3.7,2837, 750.00  , 14.0  
43, The Huguenot Chenin Blanc 2022 , South Africa , White ,2022,10.99,4.2,533, 750.00  , 12.5  
44, La Voûte 2021 , France , White ,2021,14.99,4.4,199, 750.00  , 14.0  
45, Stones & Bones 2020 , Portugal , Red ,2020,11.99,4.2,1758, 750.00  , 14.0  
46, Terres d'Arboras 2021 , France , Red ,2021,13.49,4.5,72, 750.00  , 13.0  
47, Vinha do Fava Touriga Nacional 2020 , Portugal , Red ,2020,11.99,4.3,2441, 750.00  , 14.5  
48, Cabalié Rosé 2021 , France , Rosé ,2021,10.99,4.3,381, 750.00  , 12.0  
49, Ringland Shiraz 2019 , Australia , Red ,2019,17.99,4.8,4, 750.00  , 15.0  
50, Dark Corner Durif Shiraz 2021 , Australia , Red ,2021,11.99,4.4,1955, 750.00  , 14.5  
51, Moulin de Pontfract Rosé 2021 , France , Rosé ,2021,12.99,4.2,294, 750.00  , 12.5  
52, Edizione Speciale Numerata Chianti Numero 3 Particella 21 2020 , Italy , Red ,2020,16.99,4.2,74, 750.00  , 13.0  
53, Campanula Pinot Grigio 2021 , Hungary , White ,2021,9.99,3.8,1670, 750.00  , 12.0  
54, w/o Organic Lucido 2021 ,See the full range, White ,2021,11.99,4.4,29, 750.00  , 12.5  
55, Don Cayetano Chardonnay 2021 , Chile , White ,2021,8.99,3.5,150, 750.00  , 13.0  
56, Alessandro Gallici Prosecco NV , Italy , White ,NV,15.49,4.5,253, 750.00  , 11.0  
57, Château Le Coin Sauvignon Gris 2021 , France , White ,2021,12.99,3.9,337, 750.00  , 12.5  
58, The Escapist Sauvignon Blanc 2021 , South Africa , White ,2021,8.99,3.9,54, 750.00  , 12.5  
59, Luigi e Lucina Pinot Grigio 2021 , Italy , White ,2021,8.99,4.0,96, 750.00  , 12.5  
60, Tenuta Fenice Nero d’Avola 2021 , Italy , Red ,2021,11.99,4.1,887, 750.00  , 14.0  
61, Collezione di Paolo Chianti 2020 , Italy , Red ,2020,11.99,3.7,387, 750.00  , 13.0  
62, Farinelli Rosato NV , Italy , Rosé ,NV,7.99,4.1,191, 750.00  , 12.0  
63, Domaine Saint Martin Cabernet Sauvignon 2020 , France , Red ,2020,9.99,3.4,86, 750.00  , 14.5  
64, Cabalié Cuvée Vieilles Vignes 2020 , France , Red ,2020,Not found,4.5,5656, 750.00  , 13.5  
65, Finca Libertad Tinto NV , Spain , Red ,NV,8.49,3.3,165, 750.00  , 13.5  
66, Viña del Portillo Reserva 2015 , Spain , Red ,2015,10.99,3.4,20, 750.00  , 14.0  
67, Il Papavero Rosé Prosecco Brut 2021 , Italy , Rosé ,2021,14.99,4.3,108, 750.00  , 11.5  
68, Baía de Tróia Castelão 2020 , Portugal , Red ,2020,12.99,4.5,567, 750.00  , 15.0  
69, Don Cayetano Sauvignon Blanc 2021 , Chile , White ,2021,8.99,3.7,227, 750.00  , 12.0  
70, Il Sogno di Arianna Pinot Grigio 2021 , Italy , White ,2021,9.99,4.1,197, 750.00  , 12.0  
71, El Bombero 2021 , Spain , Red ,2021,10.99,3.9,2113, 750.00  , 14.5  
72, Terra Batista Spumante Prosecco NV , Italy , White ,NV,13.99,4.4,185, 750.00  , 11.0  
73, Hunter's Sauvignon Blanc 2021 , New Zealand , White ,2021,16.99,4.3,153, 750.00  , 13.5  
74, Pink Darner White Zinfandel 2021 , USA , Rosé ,2021,7.99,4.3,17, 750.00  , 11.5  
75, w/o Frappato 2020 , Italy , Red ,2020,11.99,3.9,159, 750.00  , 13.5  
76, Le XV du Président 2021 , France , Red ,2021,12.99,4.4,761, 750.00  , 14.0  
77, Queen Bee Viognier 2022 , South Africa , White ,2022,12.99,4.2,521, 750.00  , 13.0  
78, The Forefather Gran Selección Malbec Shiraz 2020 , Argentina , Red ,2020,14.99,4.0,98, 750.00  , 14.0  
79, Rainha do Mar Castelão 2020 , Portugal , Red ,2020,Not found,3.4,148, 750.00  , 12.5  
80, La Belle Saison Sauvignon Blanc 2021 , France , White ,2021,10.99,4.0,471, 750.00  , 9.5  
