name,year,abv,size,grape type,country,wine_type,style,at its best,wine maker,price per bottle,num_review,rating,url
Modernist Pinot Noir 2020,2020,12.50%,75cl,Pinot Noir,Germany,Red,Light Reds,Now - End 2024,Dirk Roth,11.99,234,3.7 out of 5 stars from 234 customers,https://www.virginwines.co.uk/wine/Z39558102638/Modernist-Pinot-Noir
Brio Pinot Grigio 2021,2021,12.50%,75cl,Pinot Grigio,Italy,White,Fruity Whites,Now - End 2024,Ivano Emiliani,10.99,9,4.4 out of 5 stars from 9 customers,https://www.virginwines.co.uk/wine/Z41948101414/Brio-Pinot-Grigio-Z41948101414
Ripper Shiraz 2021,2021,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2024,David King,10.99,1138,4.3 out of 5 stars from 1138 customers,https://www.virginwines.co.uk/wine/Z40409101414/Ripper-Shiraz
Senti Prosecco Extra Dry NV,NV,11.00%,75cl,Prosecco (Glera),Italy,Sparkling,Prosecco,Within 1 year of purchase,Umberto Menini,12.99,3167,4.3 out of 5 stars from 3167 customers,https://www.virginwines.co.uk/wine/Z37256102461/Senti-Prosecco-Extra-Dry-Z37256102461
Billy Bosch Highwire Chenin Blanc 2021,2021,12.00%,75cl,Chenin Blanc,South Africa,White,Dry and Crisp Whites,Now - End 2024,Willie Stofberg,10.99,1096,4.2 out of 5 stars from 1096 customers,https://www.virginwines.co.uk/wine/Z39640101414/Billy-Bosch-Highwire-Chenin-Blanc
The Black Pig McLaren Vale Shiraz 2019,2019,14.00%,75cl,Shiraz / Syrah,Australia,Red,Full Bodied Reds,Now - End 2025,Fuse Winemaking Team,13.99,3317,4.6 out of 5 stars from 3317 customers,https://www.virginwines.co.uk/wine/Z36793102291/The-Black-Pig-McLaren-Vale-Shiraz
Champagne Gremillet Brut Selection NV,NV,12.00%,75cl,Champagne blend,France,Sparkling,Champagne,Within 2 years of purchase,Jean-Christophe Gremillet,27.99,394,4.4 out of 5 stars from 394 customers,https://www.virginwines.co.uk/wine/Z19437100020/Champagne-Gremillet-Brut-Selection
El Nubarron Carmenere 2021,2021,13.50%,75cl,Carmenere,Chile,Red,Full Bodied Reds,Now - End 2025,Jose Miguel Ovalle,10.99,150,4.2 out of 5 stars from 150 customers,https://www.virginwines.co.uk/wine/Z41545101414/El-Nubarron-Carmenere
Savvie Marlborough Sauvignon Blanc 2021,2021,13.00%,75cl,Sauvignon Blanc,New Zealand,White,Fruity Whites,Now - End 2024,Steve Bird,14.99,24,4.4 out of 5 stars from 24 customers,https://www.virginwines.co.uk/wine/Z41430103461/Savvie-Marlborough-Sauvignon-Blanc-Z41430103461
Jose Rose 2021,2021,12.00%,75cl,Grenache / Garnacha,Spain,Rosé,Dry and Fruity Rosé,Now - End 2023,Jose Serrano,8.99,150,4.1 out of 5 stars from 150 customers,https://www.virginwines.co.uk/wine/Z39603101414/Jose-Rose
