,all_urls_details
0,https://www.laithwaites.co.uk/product/Cabali%C3%A9-2021/0022621
1,https://www.laithwaites.co.uk/product/The-Black-Stump-Durif-Shiraz-2021/0002421
2,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Reserva-2020/3943720
3,https://www.laithwaites.co.uk/product/w/o-Organic-Frappato-2021/4160221
4,https://www.laithwaites.co.uk/product/Pillastro-Primitivo-2020/0016920
5,https://www.laithwaites.co.uk/product/Aluado-Alicante-Bouschet-2021/1549721
6,https://www.laithwaites.co.uk/product/Farinelli-Pinot-Grigio-2021/3397621
7,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Blanc-2021/2254521
8,https://www.laithwaites.co.uk/product/Hacienda-de-Lluna-Moscatel-Rosado-2021/1680521
9,https://www.laithwaites.co.uk/product/Brezza-Bianca-Frizzante-Prosecco-2021/3747921
10,https://www.laithwaites.co.uk/product/Lobster-Shack-Sauvignon-Blanc-2022/4138322
11,https://www.laithwaites.co.uk/product/The-Great-Bonza-Reserve-Shiraz-Cabernet-Sauvignon-2019/3052019
12,https://www.laithwaites.co.uk/product/Abbesse-Sauvignon-Blanc-2021/1950521
13,https://www.laithwaites.co.uk/product/Wolf-Point-Sauvignon-Blanc-2021/3711821
14,https://www.laithwaites.co.uk/product/The-Hour-Teller-Sauvignon-Blanc-2021/3748121
15,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Cuv%C3%A9e-Vieilles-Vignes-2021/1468521
16,https://www.laithwaites.co.uk/product/The-Waxed-Bat-2021/0125021
17,https://www.laithwaites.co.uk/product/The-Gooseberry-Bush-2021/0216721
18,https://www.laithwaites.co.uk/product/Rapaura-Springs-Reserve-Sauvignon-Blanc-2021/3271021
19,https://www.laithwaites.co.uk/product/Roche-Lacour-Cr%C3%A9mant-de-Limoux-2020/0100720
20,https://www.laithwaites.co.uk/product/La-Nantaise-R%C3%A9serve-2021/0352421
21,https://www.laithwaites.co.uk/product/Il-Papavero-Pinot-Grigio-2021/0184821
22,https://www.laithwaites.co.uk/product/Rocksand-Shiraz-2020/3287520
23,https://www.laithwaites.co.uk/product/Rex-Mundi-Shiraz-Grenache-2021/1419121
24,https://www.laithwaites.co.uk/product/Hole-in-the-Clouds-Sauvignon-Blanc-2021/3818121
25,https://www.laithwaites.co.uk/product/Ch%C3%A2teau-Grand-Bourry-Costi%C3%A8res-de-N%C3%AEmes-2021/4094721
26,https://www.laithwaites.co.uk/product/Alessandro-Gallici-Pinot-Grigio-2021/0606321
27,https://www.laithwaites.co.uk/product/Opi-Malbec-2021/2582521
28,https://www.laithwaites.co.uk/product/Limited-Release-Syrah-2019/4146119
29,https://www.laithwaites.co.uk/product/The-Raspberry-Bush-Ros%C3%A9-2021/4142421
30,https://www.laithwaites.co.uk/product/Pillastro-Primitivo-2021/0016921
31,https://www.laithwaites.co.uk/product/Bees-Knees-Chenin-Blanc-Viognier-2022/2114622
32,https://www.laithwaites.co.uk/product/Clarendelle-Bordeaux-Inspired-by-Haut-Brion-2016/0974916
33,https://www.laithwaites.co.uk/product/McPherson-Don't-Tell-Gary-Shiraz-2019/3672019
34,https://www.laithwaites.co.uk/product/Didier-Chopin-Brut-Champagne-2019/2380318
35,https://www.laithwaites.co.uk/product/Posada-del-Rey-Tinto-2019/0004220
36,https://www.laithwaites.co.uk/product/McPherson-The-Full-Fifteen-2021/0017321
37,https://www.laithwaites.co.uk/product/The-Raspberry-Bush-Ros%C3%A9-2022/4142422
38,https://www.laithwaites.co.uk/product/The-Dip-2021/4159121
39,https://www.laithwaites.co.uk/product/Ermita-de-San-Lorenzo-Gran-Selecci%C3%B3n-2015/0352715
40,https://www.laithwaites.co.uk/product/Lobo-e-Falc%C3%A3o-2021/1948221
41,https://www.laithwaites.co.uk/product/L'Occhiolino-Sparkling-Red-2021/4215521
42,https://www.laithwaites.co.uk/product/Bar%C3%B3n-de-Barb%C3%B3n-Oak-Aged-Rioja-2020/0002320
43,https://www.laithwaites.co.uk/product/The-Huguenot-Chenin-Blanc-2022/1500522
44,https://www.laithwaites.co.uk/product/La-Vo%C3%BBte-2021/1409621
45,https://www.laithwaites.co.uk/product/Stones-&-Bones-2020/2267520
46,https://www.laithwaites.co.uk/product/Terres-d'Arboras-2021/4147121
47,https://www.laithwaites.co.uk/product/Vinha-do-Fava-Touriga-Nacional-2020/3107520
48,https://www.laithwaites.co.uk/product/Cabali%C3%A9-Ros%C3%A9-2021/2578621
